POP_EST2018,POP25PLUS,MALE_25PL,M_NOSCHOOL,M_NUR_4TH,M_5TH_6TH,M_7TH_8TH,M_9TH,M_10TH,M_11TH,M_12THNODIP,M_HS_GED,M_SOMECOLL1,M_SOMECOLND,M_ASSODEG,M_BACHDEG,M_MASTDEG,M_PROGDEG,M_DOCTDEG,FEMALE_25PL,F_NOSCHOOL,F_NUR_4TH,F_5TH_6TH,F_7TH_8TH,F_9TH,F_10TH,F_11TH,F_12THNODIP,F_HS_GED,F_SOFECOLL1,F_SOFECOLND,F_ASSODEG,F_BACHDEG,F_FASTDEG,F_PROGDEG,F_DOCTDEG,POP_3PL,ENROLLED,PRESCHOOL,KNDRGRTN,GR_1_4,GR_5_8,GR_9_12,UNDERGRAD,GRAD_PROF,NOHSDIPL,HSGRAD_SC,BACHL_HGHR,MPOP_3PL,M_ENROL3PL,FPOP_3PL,F_ENROL3PL,county,state
673943,451402,217192,2716,1832,3980,3042,3743,4290,4067,4033,52440,12668,37553,16054,37355,20792,5545,7082,234210,3014,1523,4070,3926,2830,3374,4850,3190,54878,14611,42498,18919,43239,25076,4480,3732,649009,185240,9701,8396,35308,34302,35843,49505,12185,54480,249621,147301,317908,90675,331101,94565,1,35
3583,2822,1460,0,0,0,1,18,9,14,26,515,75,322,59,246,157,0,18,1362,0,0,0,22,0,21,37,19,508,24,260,158,172,126,0,15,3554,640,0,40,117,136,302,33,12,167,1921,734,1904,377,1650,263,3,35
65811,41078,19909,409,300,970,564,814,674,793,370,5628,1287,3282,1349,2336,813,199,121,21169,468,398,974,473,534,514,525,231,5452,1542,4061,2038,2540,1224,100,95,62730,18171,1092,1128,4028,3858,3969,3644,452,9011,24639,7428,31220,9254,31510,8917,5,35
27382,18155,9106,84,92,204,280,196,298,487,110,3660,509,1709,568,636,217,20,36,9049,58,110,74,272,118,399,421,170,2962,535,1578,1084,892,291,58,27,26132,7144,565,453,1422,1328,1857,1317,202,3373,12605,2177,13166,3497,12966,3647,6,35
12997,9474,4786,69,13,18,106,32,126,168,78,1718,290,843,257,781,216,31,40,4688,20,7,15,75,73,107,110,62,1491,460,913,389,634,284,22,26,12651,2754,192,85,635,528,603,567,144,1079,6361,2034,6345,1367,6306,1387,7,35
50497,30415,15181,178,226,495,380,183,520,442,214,3999,920,3334,1575,1745,778,114,78,15234,211,119,351,317,389,515,683,141,3680,832,2838,1538,2082,1421,104,13,47878,14201,949,887,3310,2557,2936,3018,544,5364,18716,6335,24937,7074,22941,7127,9,35
2020,1385,598,6,15,3,30,4,23,9,5,263,18,158,28,27,9,0,0,787,1,6,8,23,23,25,43,9,331,20,178,22,67,31,0,0,2016,599,21,29,110,162,182,95,0,233,1018,134,903,268,1113,331,11,35
213963,127379,61420,1378,1517,3457,1316,1475,1201,1747,638,14453,3369,10295,3655,10081,4307,1152,1379,65959,1187,1644,4495,1547,2291,1461,1692,623,13574,3608,9811,5606,10610,6255,683,872,204986,68903,3012,2844,12553,12278,12516,22737,2963,27669,64371,35339,100774,34037,104212,34866,13,35
55641,36145,18165,159,262,268,296,247,909,667,467,6468,1308,2973,1145,1876,841,164,115,17980,272,251,187,439,322,539,456,330,5811,1379,2773,1776,1995,1365,37,48,53098,13665,814,637,3395,3461,3251,1810,297,6071,23633,6441,26957,6679,26141,6986,15,35
29119,20517,9859,109,97,110,239,115,300,329,87,2916,600,1928,697,1189,856,95,192,10658,68,63,154,354,243,346,369,148,2598,547,2053,665,1436,1190,118,306,28151,6700,393,276,1407,1431,1340,1601,252,3131,12004,5382,13759,3292,14392,3408,17,35
